C001;C002;C003;C004;C005;C006;C007;C008;C009;C010;C011;C012;C013;C014;C015;C016;C017;C018;C019;C020;C021;C022;C023;C024;C025;C026;C027;C028;C029;C030;C031;C032;C033;C034;C035;C036;C037;C038;C039;C040;C041;C042;C043;C044;C045;C046;C047;C048;C049;C050;C051;C052;C053;C054;C055;C056;C057;C058;C059;C060;C061;C062;C063;C064;C065;C066;C067;C068;C069;C070;C071;C072;C073;C074;C075;C076;C077;C078;C079;C080;C081;C116;C082;C083;C084;C085;C086;C087;C088;C089;C090;C091;C092;C093;C094;C095;C096;C097;C098;C099;C100;C101;C102;C103;C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C115;
;;;;;;;;;Adult living habitat;;;;;;Adult living depth (soil or water, cm);;;;;;;Adult body size (mm);;;;;;;Longevity (yr);;;;;;Seasonal activty pattern;;;;;;Daily activity pattern;;;Feeding mode;;;;;;;Adult locomotion;;;;;;;;;;Reproductive mode;;;;;;;Reproductive season;;;;;Reproduction frequency;;;;;Larval/juvenile development location;;;;;;Offspring size (mm);;;;;Age of sexual maturation;;;;;;;;Fecundity;;;;;;;;Overwintering stage;;;;;Overwintering location;;;;;;Proxy species
Taxon_ID;Phylum;Class;Order;Family;Subfamily;Genus;Species;Reference_ID beach/ embryonic/white dunes;litter-associated;soil-dwelling;burrow-associated;vegetation;water;RID;surface;>0 and ? 3;>3 and ? 8;>8 and ? 15;>15 and ? 25;>25;RID;>0.5 and ? 2;>2 and ? 5;>5 and ? 15;>15 and ? 30;>30 and ? 50 mm;>50mm;RID;?0.25;>0.25 and ? 0.5;>0.5 and ? 1;>1 and ? 3;> 3;RID;Eurychorne;Stenochrone MJ;Stenochrone JS;Stenochrone SM;Diplochrone;RID;Diurnal;Nocturnal;RID;microbivore;detrivore;herbivore;granivore;predator;omnivore;RID;Surface runners/walkers;Climbing (on vegetation);Sand swimming/subsurface crawling;(Limited) flyers;Bioturbation and burrowing;Jumper;Low mobility;Ballooning;Swimming/floating;RID;Parthenogesis;Oviposition (unprotected);Oviposition (protected);Ovigerous;Ovoviviparous;Parental care;RID;Winter;Spring;Summer;Autumn;RID;Multivoltine;Univoltine;Semivoltine;Semelparous;RID;Soil-dwelling;Litter-associated;Burrow-associated;On parent;(water)Vegetation;RID;? 0.1 mm;> 0.1 – ? 0.5 mm;> 0.5 – ? 1.5 mm;> 1.5 mm;RID;?7 days ;>7 days - 1month;>1 - 3 months;>3 - 6 months;>6-9 months;>9-12 months;>1 year;RID;?1 and ? 5;>6 and ? 20;>21 and ? 50;>51 and ? 150;>151 and ? 500;>501 and ? 1000;>1000;RID;egg;pop;larvae/nymph;adult;RID;Soil;In vegetation;Litter/dead wood;Nests of other animals;Water;RID;
W001;Arthropoda;Malacostraca;Amphipoda;Talitridae;;;;;2;1;1;1;0;24,26,27,29,33;0;2;2;2;1;1;"26;e";0;0;1;2;0;0;19,23,30,33,34;0;1;2;1;0;25,26,29,33;1;2;2;1;0;25,31,32,33;0;3;27;0;3;0;0;0;0;26,29,33,34;0;0;0;0;2;2;0;0;1;26;0;0;0;3;0;0;25,29,33;1;2;2;1;25,26,32,33;2;1;0;0;25,26,30,33;0;3;0;0;0;26,27;0;1;2;1;25,26,29,32,33;0;0;2;2;NF;NF;0;25,32,33;3;0;0;0;0;0;0;28,29,33,34;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W002;Arthropoda;Malacostraca;Amphipoda;Talitridae;Talitrinae;Deshayesorchestia;Deshayesorchestia deshayesii;19;2;0;1;0;0;26,29;0;2;2;2;1;1;"26;e";0;0;2;2;0;0;23,30;0;2;2;0;0;26,29,30;0;3;0;0;0;31;0;3;27;0;3;0;0;0;0;29;0;0;0;0;2;2;0;0;1;26;0;0;0;3;0;0;29;0;2;2;2;26;3;0;0;0;26,30;0;3;0;0;0;"26;e";0;2;2;0;29;0;0;3;0;NF;NF;0;"25;c";3;0;0;0;0;0;0;29;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W003;Arthropoda;Arachnida;Araneae;Agelenidae;;;;4,14,16;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;3;183;0;0;0;0;3;0;37;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W004;Arthropoda;Arachnida;Araneae;Cheiracanthiidae;Cheiracanthiinae;Cheiracanthium;;;NF;2;NF;2;0;"46;q, 49;q";NF;NF;NF;NF;NF;NF;NF;0;0;3;0;0;0;46;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;3;"23, 46;q, 49;q";0;0;0;0;3;0;37;3;NF;NF;NF;NF;NF;NF;0;NF;"49;q";0;0;3;0;0;0;181.182;0;0;3;0;181;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W005;Arthropoda;Arachnida;Araneae;Clubionidae;;;;;1;2;0;2;0;"46;q, 182";2;1;0;0;0;0;182;0;2;2;0;0;0;46, 182;NF;NF;NF;NF;NF;NF;0;2;2;1;0;182;0;3;"23, 46;q, 182";0;0;0;0;3;0;37;2;1;0;0;0;0;0;1;0;"46;q, 182";0;0;2;0;0;2;182;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;1;0;0;2;90, 182;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W006;Arthropoda;Arachnida;Araneae;Clubionidae;Clubioninae;Clubiona;;2,3,4,14,16,21;1;2;0;2;0;"46;q, 182";2;1;0;0;0;0;182;0;2;2;0;0;0;46;NF;NF;NF;NF;NF;NF;0;2;2;1;0;182;0;3;"23, 46;q, 182";0;0;0;0;3;0;37;2;1;0;0;0;0;0;1;0;"46;q, 182";0;0;2;0;0;2;182;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;0;2;90, 182;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W007;Arthropoda;Arachnida;Araneae;Clubionidae;Clubioninae;Clubiona;Clubiona lutescens;;NF;NF;NF;2;0;46;NF;NF;NF;NF;NF;NF;NF;0;0;3;0;0;0;46;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;3;23,  46;0;0;0;0;3;0;37;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W008;Arthropoda;Arachnida;Araneae;Gnaphosidae;Zelotinae;Trachyzelotes;Trachyzelotes pedestris;;0;2;0;1;0;46, 49;NF;NF;NF;NF;NF;NF;NF;0;0;3;0;0;0;46;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;1;2;23, 49;0;0;0;0;3;0;37;NF;NF;NF;NF;NF;NF;NF;0;NF;49;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W009;Arthropoda;Arachnida;Araneae;Gnaphosidae;Zelotinae;Zelotes;Zelotes electus;;2;2;0;2;0;46.182;2;2;0;0;0;0;182;0;2;2;0;0;0;46, 182;NF;NF;NF;NF;NF;NF;0;3;0;0;0;182;0;3;182;0;0;0;0;3;0;37,46;2;2;0;0;0;0;0;1;0;46.182;0;0;2;0;0;2;182;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;3;0;0;0;0;182;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W010;Arthropoda;Arachnida;Araneae;Linyphiidae;;;;2,3,4,14,15,16,21;1;0;0;2;0;"46;q, 90, 181";3;0;0;0;0;0;181;2;2;1;0;0;0;46, 181;0;0;3;0;0;181;2;1;1;1;1;90;2;2;46;0;0;0;0;3;0;37, 181;1;2;0;0;0;0;0;1;0;46, 90, 181, 182;0;0;2;0;0;1;90;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;2;0;0;1;90;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W011;Arthropoda;Arachnida;Araneae;Linyphiidae;Erigoninae;Oedothorax;Oedothorax fuscus;;NF;2;NF;2;0;46, 49;NF;NF;NF;NF;NF;NF;NF;1;2;0;0;0;0;46;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;1;2;49;0;0;0;0;3;0;37, 46;2;NF;NF;NF;NF;NF;NF;2;NF;46, 49;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W012;Arthropoda;Arachnida;Araneae;Linyphiidae;Erigoninae;Oedothorax;Oedothorax retusus;;NF;2;NF;2;0;46;NF;NF;NF;NF;NF;NF;NF;0;3;0;0;0;0;46;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;0;3;0;37,46;2;NF;NF;NF;NF;NF;NF;1;NF;46;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W013;Arthropoda;Arachnida;Araneae;Liocranidae;Liocraninae;Agroeca;;;NF;2;NF;2;0;"46;q";NF;NF;NF;NF;NF;NF;NF;0;2;2;0;0;0;46;0;0;0;3;0;122;0;0;0;2;1;122;0;3;122;0;0;0;0;3;0;37;NF;NF;NF;NF;NF;NF;NF;1;NF;"46;q";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W014;Arthropoda;Arachnida;Araneae;Lycosidae ;;;;2,3,4,14,16,17,21;1;2;1;1;0;"46;q, 181";3;0;0;0;0;0;181;0;1;2;1;0;0;46;NF;NF;NF;NF;NF;NF;0;2;2;0;0;181;2;2;"46;q, 181";0;0;0;0;3;0;37, 181;2;1;0;0;1;1;0;1;1;"46;q, 181, 182";0;0;1;2;0;2;181, 182;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;3;0;182;NF;NF;NF;NF;NF;0;0;0;0;0;0;3;182;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W015;Arthropoda;Arachnida;Araneae;Lycosidae ;Lycosinae;Trochosa;;;NF;2;NF;1;0;"46;q, 49;q"; ;NF;NF;NF;NF;NF;NF;0;0;3;0;0;0;46;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;3;"46, 49;q";0;0;0;0;3;0;37;NF;2;NF;NF;NF;NF;NF;1;NF;"46;q, 49;q";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W016;Arthropoda;Arachnida;Araneae;Lycosidae ;Lycosinae;Alopecosa;Alopecosa pulverulenta;;NF;2;NF;1;0;46, 49;NF;NF;NF;NF;NF;NF;NF;0;0;3;0;0;0;46;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;2;2;49;0;0;0;0;3;0;37;2;NF;NF;NF;NF;NF;NF;1;NF;46, 49;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W017;Arthropoda;Arachnida;Araneae;Lycosidae ;Pardosinae;Pardosa;;122;NF;2;NF;1;0;"46;q, 49;q";NF;NF;NF;NF;NF;NF;NF;0;2;2;0;0;0;46;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;1;2;"49;q";0;0;0;0;3;0;37;2;NF;NF;NF;NF;NF;NF;1;NF;"46;q, 49;q";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W018;Arthropoda;Arachnida;Araneae;Lycosidae ;Piratinae;Pirata;Pirata piraticus;;0;1;0;2;1;49, 182;3;0;0;0;0;0;"182;d";0;0;3;0;0;0;46, 181, 182;NF;NF;NF;NF;NF;NF;0;1;2;0;0;182;3;0;"46, 182;d";0;0;0;0;3;0;37, 182:d;2;0;0;0;0;0;0;1;0;"46, 49, 182;d";0;0;0;2;0;2;"182;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;3;0;"182;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W019;Arthropoda;Arachnida;Araneae;Lycosidae ;Piratinae;Piratula;Piratula latitans;;0;1;0;2;1;46, 49, 181, 182;3;0;0;0;0;0;"182;d";0;3;0;0;0;0;46, 181, 182;NF;NF;NF;NF;NF;NF;0;1;2;0;0;182;2;2;49;0;0;0;0;3;0;37;2;0;0;0;0;0;0;1;0;"46, 49, 182;d";0;0;0;2;0;2;"182;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;3;0;"182;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W020;Arthropoda;Arachnida;Araneae;Lycosidae ;Tricassinae;Arctosa;Arctosa leopardus;;2;2;0;1;0;"46;m, 88, 181";3;0;0;0;0;0;88, 182;0;0;3;0;0;0;46, 181, 182;NF;NF;NF;NF;NF;NF;0;1;2;0;0;88, 182;2;2;"182;d, 210;d";0;0;0;0;3;0;37, 182;2;1;0;0;0;0;0;1;0;46, 182;0;0;2;0;0;2;"182, 210;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;0;3;182;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W021;Arthropoda;Arachnida;Araneae;Lycosidae ;Tricassinae;Arctosa;Arctosa perita;;0;2;1;0;0;181, 182;2;0;0;0;0;2;181, 182, 211;0;0;3;0;0;0;;NF;NF;NF;NF;NF;NF;0;3;0;0;0;182;2;2;"182;d, 210;d";0;0;0;0;3;0;37, 182;2;0;0;0;1;0;0;1;0;46, 181, 182;0;0;2;0;0;2;"182, 210;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;3;0;0;181;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W022;Arthropoda;Arachnida;Araneae;Lycosidae ;Pardosinae;Pardosa;Pardosa monticola;;2;1;0;1;0;182;3;0;0;0;0;0;182;0;2;2;0;0;0;46, 181, 182;NF;NF;NF;NF;NF;NF;0;2;1;1;0;181, 182;3;0;"181;d, 182;d";0;0;0;0;3;0;37, 182;2;0;0;0;0;0;0;1;0;46, 181, 182;0;0;2;0;0;2;"182;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;3;0;"182;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W023;Arthropoda;Arachnida;Araneae;Lycosidae ;Pardosinae;Pardosa;Pardosa palustris;;2;1;0;2;0;"46, 182;d";3;0;0;0;0;0;182;0;0;3;0;0;0;46;NF;NF;NF;NF;NF;NF;0;1;2;1;0;182;3;0;"181;d, 182;d";0;0;0;0;3;0;37, 182;2;2;0;0;0;0;0;1;0;"46, 49;m, 181, 182";0;0;2;0;0;2;"182;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;3;0;"182;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W024;Arthropoda;Arachnida;Araneae;Philodromidae;Philodrominae;Tibellus;;;NF;NF;NF;3;0;"46;q, 49;q";NF;NF;NF;NF;NF;NF;NF;0;0;3;0;0;0;46;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;3;0;46;0;0;0;0;3;0;37;3;NF;NF;NF;NF;NF;NF;1;NF;"46;q, 49;q";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;Tibellus oblongus
W025;Arthropoda;Arachnida;Araneae;Philodromidae;Philodrominae;Rhysodromus;Rhysodromus fallax;;0;3;0;0;0;46, 181, 182;3;0;0;0;0;0;182;0;3;0;0;0;0;46, 181, 182;NF;NF;NF;NF;NF;NF;0;3;0;0;0;181.182;3;0;46;0;0;0;0;3;0;37, 182;2;0;0;0;0;1;0;0;0;181, 182;0;0;2;0;0;2;181;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;3;0;0;0;0;181;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
