C001;C002;C003;C004;C005;C006;C007;C008;C009;;;C014;C015;;C022;;C029;;;C041;;C044;;C051;C052;C053;C054;C055;C056;C057;C058;C059;C060;C061;;C068;C079;C080;C081;C082;C116;C083;;;
;;;;;;;;;;;;;;;;;;;;;;;;Adult locomotion;;;;;;;;;;;;Larval/juvenile development location;;;;;;Finished?;,Status;proxy
Taxon_ID;Phylum;Class;Order;Family;Subfamily;Genus;Species;Reference_ID beach/ embryonic/white dunes;Adult_habitat_open->vegetation;Adult_Habitat.Litter;Adult_Habitat.water;RID;Adult_Living_Depth;RID;Adult_body_size;RID;Seasonal_activity;Seasonal_restriction;RID;Diurnal_activity;RID;Foodweb_place;RID;Surface runners/walkers;Climbing (on vegetation);Sand swimming/subsurface crawling;(Limited) flyers;Bioturbation and burrowing;Jumper;Low mobility;Ballooning;Swimming;RID;Parental _care;RID;Soil-dwelling;Litter-associated;Burrow-associated;(water)Vegetation;On parent;RID;;;
W001;Arthropoda;Malacostraca;Amphipoda;Talitridae;;;;;1,5;2;0;24,26,27,29,33;2;"26;e";2,75;19,23,30,33,34;1,5;2;25,31,32,33;0;27;3;26,29,33,34;0;0;0;0;2;2;0;0;1;26;3;25,29,33;0;3;0;0;0;26,27;0;K;
W002;Arthropoda;Malacostraca;Amphipoda;Talitridae;Talitrinae;Deshayesorchestia;Deshayesorchestia deshayesii;19;1,5;2;0;26,29;2;"26;e";2,5;23,30;1;3;31;0;27;3;29;0;0;0;0;2;2;0;0;1;26;3;29;0;3;0;0;0;"26;e";0;K;
W005;Arthropoda;Arachnida;Araneae;Clubionidae;;;;;1,5;1;0;"46;q, 182";0,5;182;1,5;46, 182;1,5;2;182;0;"23, 46;q, 182";1;37;2;1;0;0;0;0;0;1;0;"46;q, 182";1,5;182;0;1;0;2;0;90, 182;0;K;
W006;Arthropoda;Arachnida;Araneae;Clubionidae;Clubioninae;Clubiona;;2,3,4,14,16,21;1,5;1;0;"46;q, 182";0,5;182;1,5;46;1,5;2;182;0;"23, 46;q, 182";1;37;2;1;0;0;0;0;0;1;0;"46;q, 182";1,5;182;0;0;0;2;0;90, 182;0;K;
W009;Arthropoda;Arachnida;Araneae;Gnaphosidae;Zelotinae;Zelotes;Zelotes electus;;1,5;2;0;46182;1;182;1,5;46, 182;1;3;182;0;182;1;37,46;2;2;0;0;0;0;0;1;0;46182;1,5;182;3;0;0;0;0;182;0;K;
W010;Arthropoda;Arachnida;Araneae;Linyphiidae;;;;2,3,4,14,15,16,21;3;1;0;"46;q, 90, 181";0;181;0,5;46, 181;1,75;2;90;1,5;46;1;37, 181;1;2;0;0;0;0;0;1;0;46, 90, 181, 182;1,25;90;0;2;0;1;0;90;0;K;
W014;Arthropoda;Arachnida;Araneae;Lycosidae;;;;2,3,4,14,16,17,21;1;1;0;"46;q, 181";0;181;2;46;1,5;2;181;1,5;"46;q, 181";1;37, 181;2;1;0;0;1;1;0;1;1;"46;q, 181, 182";2;181, 182;0;0;0;0;3;182;0;K;
W018;Arthropoda;Arachnida;Araneae;Lycosidae ;Piratinae;Pirata;Pirata piraticus;;2;0;1;49, 182;0;"182;d";2;46, 181, 182;1,75;2,5;182;3;"46, 182;d";1;37, 182:d;2;0;0;0;0;0;0;1;0;"46, 49, 182;d";2,5;"182;d";0;0;0;0;3;"182;d";0;K;
W019;Arthropoda;Arachnida;Araneae;Lycosidae ;Piratinae;Piratula;Piratula latitans;;2;0;1;46, 49, 181, 182;0;"182;d";1;46, 181, 182;1,75;2,5;182;1,5;49;1;37;2;0;0;0;0;0;0;1;0;"46, 49, 182;d";2,5;"182;d";0;0;0;0;3;"182;d";0;K;
W020;Arthropoda;Arachnida;Araneae;Lycosidae ;Tricassinae;Arctosa;Arctosa leopardus;;1;2;0;"46;m, 88, 181";0;88, 182;2;46, 181, 182;1,75;2,5;88, 182;1,5;"182;d, 210;d";1;37, 182;2;1;0;0;0;0;0;1;0;46, 182;1,5;"182, 210;d";0;0;0;3;0;182;0;K;
W021;Arthropoda;Arachnida;Araneae;Lycosidae ;Tricassinae;Arctosa;Arctosa perita;;0;0;0;181, 182;0;181, 182, 211;2;0;1;3;182;1,5;"182;d, 210;d";1;37, 182;2;0;0;0;1;0;0;1;0;46, 181, 182;1,5;"182, 210;d";0;0;3;0;0;181;0;K;
W022;Arthropoda;Arachnida;Araneae;Lycosidae ;Pardosinae;Pardosa;Pardosa monticola;;1,5;2;0;182;0;182;1,5;46, 181, 182;1,25;2,5;181, 182;3;"181;d, 182;d";1;37, 182;2;0;0;0;0;0;0;1;0;46, 181, 182;1,5;"182;d";0;0;0;0;3;"182;d";0;K;
W023;Arthropoda;Arachnida;Araneae;Lycosidae ;Pardosinae;Pardosa;Pardosa palustris;;2;2;0;"46, 182;d";0;182;2;46;2;2,5;182;3;"181;d, 182;d";1;37, 182;2;2;0;0;0;0;0;1;0;"46, 49;m, 181, 182";1,5;"182;d";0;0;0;0;3;"182;d";0;K;
W025;Arthropoda;Arachnida;Araneae;Philodromidae;Philodrominae;Rhysodromus;Rhysodromus fallax;;0;0;0;46, 181, 182;0;182;1;46, 181, 182;1;3;181182;3;46;1;37, 182;2;0;0;0;0;1;0;0;0;181, 182;1,5;181;3;0;0;0;0;181;0;K;
W026;Arthropoda;Arachnida;Araneae;Philodromidae;Philodrominae;Thanatus;Thanatus striatus;;1,5;0;0;182;0;181, 182;1;46, 182;1,5;2;182;3;"182;e";1;37, 182;2;1;0;0;0;0;0;1;0;"182;m, 212;m";1,5;"182;a;m";0;2;0;2;0;"182;a;m";0;K;
W027;Arthropoda;Arachnida;Araneae;Theridiidae;Tetragnathinae;Pachygnatha;Pachygnatha clercki;2,3,14,16,21;2;2;0;46, 182;0;90, 181, 182;2;46, 181, 182;3;0;181, 182;3;"181;a, 182;a";1;37, 182;2;2;0;0;0;0;0;1;0;"46, 46;m, 181;a, 182;a";1,5;90;0;0;0;3;0;90;0;K;
W029;Arthropoda;Insecta;Coleoptera;Anthicidae;Anthicinae;Anthicus;Anthicus bimaculatus;;1;1;0;"208;d";0,5;"208;m";1;208;3;0;208;2;"208;m";3;"208;d";1;0;2;0;0;0;0;0;0;"208;m";0;"208;c";2;2;0;0;0;"208;c";0;K;
W034;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalinae;Acupalpus;Acupalpus dubius;;2;0;0;36, 53;0;"53;m";1;"36;d, 45, 61";1;3;36;3;36;1;39,43;2;0;0;1;0;0;0;0;0;"36;d";1;"57;k, 39:k, 60;k";0;3;0;0;0;a;0;K;
